symbol	phenotype_score	fraction_of_max	n_terms_matched	matched_terms	in_disease_panel
KCNC2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
KCNH5	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
KDM6A	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
KIAA0586	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
KIAA0753	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
KIF15	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
KLLN	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
KMT2A	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
KMT2C	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
KMT2D	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
LBR	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
LGI3	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
LHX4	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
LMNB1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
LRRC7	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
LUZP1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
MAP3K7	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MARS2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MBTPS2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MCM4	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MGAT2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MKRN3	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
MLYCD	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MMP23B	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
MSMO1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MT-ATP6	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MT-CO1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MT-CO2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MT-CO3	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MT-ND1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MT-ND4	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MT-ND5	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MT-ND6	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MT-TF	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MT-TH	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MT-TK	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MT-TQ	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MT-TS1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MT-TS2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MT-TW	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MTR	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
MVK	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
NCAPG2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
NECAP1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
NFE2L2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
NFIX	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
NIPAL4	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
NKX2-1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
NKX2-5	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
NLRC4	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
NOTCH2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
NPAP1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
NPHP3	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
NRCAM	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
NRTN	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
NSD1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
NTRK2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
NUS1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
OFD1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
ORAI1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
ORC4	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
ORC6	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
OTUD6B	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
OTX2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PACS2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PARN	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PARS2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PCCA	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PCCB	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PCGF2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PDE6D	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PDPN	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
PGM3	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PHGDH	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PIK3CA	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PIK3CD	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PKP1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
PLCH1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PNPLA1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
POGZ	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
POLA1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
POU1F1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PPP1CB	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PPP3CA	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PRDM16	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PREPL	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PRKACA	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PRKACB	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PRKCZ	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
PRMT7	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PROKR2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PTBP1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PTDSS1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PTPN11	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PTPN22	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
PWAR1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
PWRN1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
PYCR1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
PYGL	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
RAB3GAP1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
RERE	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
RFT1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
RIT1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
RMRP	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
RNU4-2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
RNU7-1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
ROBO1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
RPL17	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
RREB1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
RTEL1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
RTTN	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SCN1A	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SCN3A	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SCN8A	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SCNN1A	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SCNN1B	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
SCNN1G	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SDHC	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SDR9C7	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
SEC23B	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SEC24C	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
SEMA3C	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
SEMA3D	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
SETD2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SGSM3	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SH2B1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
SHOC2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SIM1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SKI	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SLC13A5	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SLC2A1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SLC35A2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SLC38A3	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SLC39A4	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SLC39A8	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SLC6A8	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SMAD2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SMARCA2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SMO	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SMOC1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SNAP29	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SNORD115-1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
SNORD116-1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
SON	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SOX9	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SPEN	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SPTSSA	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SRD5A3	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SREBF1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
SRSF1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
STAG2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
STAT3	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
STAT5B	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
STIL	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
STRA6	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
STT3A	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SULT2B1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
SYNGAP1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SYNJ1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
SZT2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
TACO1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
TAOK1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
TBX1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
TBX4	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
TCIRG1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
TCTN3	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
TERT	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
TG	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
TGDS	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
TGFB3	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
TGM1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
TINF2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
TLK2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
TMEM165	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
TMEM216	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
TMEM231	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
TNFRSF11B	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
TOPORS	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
TRAK1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
TRAPPC2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
TYMS	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
UBA5	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
UBE3B	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
UBE4B	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
UFC1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
UFD1	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
UFSP2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
USF3	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	no
USP7	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
VAC14	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
VDR	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
VPS53	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
WDR11	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
XPA	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
XPC	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
YWHAG	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
ZEB2	2.763	0.1041	2	HP:0004322(Short stature);HP:0001508(Failure to thrive)	yes
ABCA1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
ABCD3	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ABHD12	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ACADM	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ACTN2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ADAMTS15	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ADCY6	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
ADSL	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ADSS1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
AFG3L2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
AGRN	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
AIP	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
AK9	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
AMPD1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
ANG	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ANO5	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ANXA11	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
APTX	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ARHGAP19	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
ARMC5	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
ARSI	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
ATAD3A	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ATCAY	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ATL1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ATL3	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ATP13A2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ATXN1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ATXN2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ATXN3	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
B3GALNT2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
B4GALNT1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
B4GAT1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
BAG3	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
BICD2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
BIN1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
BRPF1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
BSCL2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
C19orf12	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
C9orf72	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
CADM3	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
CAPN1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
CAPN3	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
CAPRIN1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
CAV3	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
CCNF	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
CCT5	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
CD28	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
CD59	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
CDH23	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
CEP126	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
CHAT	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
CHMP2B	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
CHN1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
CHP1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
CHRNA1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
CHRNB1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
CHRND	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
CHRNE	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
CNBP	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
CNTNAP1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
COA7	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
COASY	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
COG3	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
COL13A1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
COL25A1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
COL4A1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
COL6A3	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
COLQ	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
COQ2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
COX18	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
CPT1A	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
CPT1C	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
CRPPA	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
CTLA4	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
CYP27A1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
DAG1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
DAO	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
DARS2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
DCAF8	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
DCTN1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
DES	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
DHH	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
DHTKD1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
DMD	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
DNAJB2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
DOK7	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
DPM3	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
DUX4	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
DUX4L1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
DYNC1H1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
DYSF	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
EGR2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
EMD	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
ENTPD1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ERBB4	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ERGIC1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
ERLIN1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
ERLIN2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
FAM111B	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
FARS2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
FBLN5	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
FBXO38	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
FGD4	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
FHL1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
FITM2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
FKBP14	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
FKRP	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
FKTN	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
FLNC	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
FLRT1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	no
FLVCR1	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
FOXP2	2.161	0.0814	1	HP:0003202(Skeletal muscle atrophy)	yes
