symbol	panel_tier	n_sources	sources	n_nominations	has_experimental_evidence	in_core_panel	n_specific_go_terms	specific_go_terms	go_terms	reactome_pathways	string_seeds	known_mva_gene	ensembl_gene_id	gnomad_transcript	gnomad_loeuf	gnomad_oe_lof	gnomad_pli	gnomad_mis_z	constraint_bin
HAUS6	2	3	GO,Reactome,STRING	16	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)	CEP192	no	54801	NM_017645.5	1.211	0.848	0.000	0.22	unconstrained
INCENP	2	3	GO,Reactome,STRING	31	yes	yes	3	GO:0000776 (kinetochore); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB3	no	3619	NM_001040694.2	0.539	0.418	0.106	1.91	constrained
KIF2C	2	3	GO,Reactome,STRING	30	yes	yes	2	GO:0000776 (kinetochore); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB1,BUB1B,BUB3,TRIP13	no	11004	NM_006845.4	0.432	0.311	1.000	2.09	constrained
KNL1	2	3	GO,Reactome,STRING	30	yes	yes	3	GO:0000776 (kinetochore); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB1,BUB1B,BUB3	no	57082	NM_144508.5	0.366	0.274	1.000	-0.50	constrained
MAD1L1	2	3	GO,Reactome,STRING	104	yes	yes	3	GO:0000776 (kinetochore); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB1,BUB1B,BUB3	no	8379	NM_001013836.2	1.228	1.034	0.000	-0.62	unconstrained
MAD2L1	2	3	GO,Reactome,STRING	46	yes	yes	3	GO:0000776 (kinetochore); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB1,BUB1B,BUB3,TRIP13	no	4085	NM_002358.4	0.684	0.379	0.503	1.49	moderate
MAPRE1	2	3	GO,Reactome,STRING	13	yes	yes	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB3	no	22919	NM_012325.3	0.376	0.179	0.999	2.43	constrained
NCAPD2	2	3	GO,Reactome,STRING	32	yes	yes	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)	R-HSA-68877 (Mitotic Prometaphase)	SMC5	no	9918	NM_014865.4	0.687	0.582	0.000	2.35	moderate
NCAPG	2	3	GO,Reactome,STRING	42	yes	yes	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)	R-HSA-68877 (Mitotic Prometaphase)	BUB1,SMC5,TRIP13	no	64151	NM_022346.5	0.671	0.515	0.000	1.39	moderate
NCAPH	2	3	GO,Reactome,STRING	44	yes	yes	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)	R-HSA-68877 (Mitotic Prometaphase)	BUB1,SMC5	no	23397	NM_015341.5	0.566	0.422	0.111	1.64	constrained
