symbol	panel_tier	n_sources	sources	n_nominations	has_experimental_evidence	in_core_panel	n_specific_go_terms	specific_go_terms	go_terms	reactome_pathways	string_seeds	known_mva_gene	ensembl_gene_id	gnomad_transcript	gnomad_loeuf	gnomad_oe_lof	gnomad_pli	gnomad_mis_z	constraint_bin
CENPN	3	2	GO,Reactome	13	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0007059 (chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	55839	NM_001100624.3	1.257	0.873	0.000	-0.15	unconstrained
CENPO	3	2	GO,Reactome	9	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0007059 (chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	79172	NM_001322101.2	1.138	0.820	0.000	0.39	unconstrained
CENPP	3	2	GO,Reactome	7	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0007059 (chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	401541	NM_001012267.3	1.272	0.800	0.000	-0.19	unconstrained
CENPQ	3	2	GO,Reactome	10	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0007059 (chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	55166	NM_018132.4	1.040	0.576	0.025	0.41	unconstrained
CENPT	3	2	GO,Reactome	21	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0007059 (chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	80152	NM_025082.4	0.917	0.709	0.000	0.10	moderate
CENPU	3	2	GO,Reactome	7	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0007059 (chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	79682	NM_024629.4	1.207	0.830	0.000	-0.09	unconstrained
CEP120	3	2	GO,STRING	17	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)		CEP192	no	153241	NM_001375405.1	0.930	0.762	0.000	-0.44	moderate
CEP131	3	2	GO,Reactome	4	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	22994	NM_014984.4	1.031	0.871	0.000	-0.88	unconstrained
CEP250	3	2	GO,Reactome	9	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	11190	NM_007186.6	0.860	0.772	0.000	2.78	moderate
CEP295	3	2	GO,STRING	5	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)		CEP192	no	85459	NM_033395.2	0.735	0.641	0.000	1.12	moderate
CEP55	3	2	GO,STRING	4	yes	yes	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)		BUB1,TRIP13	no	55165	NM_018131.5	1.138	0.899	0.000	1.25	unconstrained
CEP72	3	2	GO,Reactome	5	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	55722	NM_018140.4	1.409	1.158	0.000	-0.68	unconstrained
CEP76	3	2	GO,Reactome	5	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	79959	NM_024899.4	0.716	0.519	0.000	1.66	moderate
CEP85	3	2	GO,STRING	3	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)		CEP192	no	64793	NM_001319944.2	0.784	0.619	0.000	0.95	moderate
CETN2	3	2	GO,Reactome	5	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	NA	NA	NA	NA	NA	NA	no_constraint_data
CHEK1	3	2	GO,STRING	2	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)		BUB1	no	1111	NM_001114122.3	0.831	0.591	0.000	2.08	moderate
CHEK2	3	2	GO,STRING	3	yes	yes	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)		SMC5	no	11200	NM_007194.4	1.399	1.067	0.000	-0.02	unconstrained
CLASP1	3	2	GO,Reactome	13	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	ENSG00000074054	ENST00000263710	0.237	0.163	1.000	3.48	highly_constrained
CLASP2	3	2	GO,Reactome	8	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	23122	NM_001365631.1	0.365	0.261	1.000	2.54	constrained
CSNK1D	3	2	GO,Reactome	5	yes	yes	0		GO:0007059 (chromosome segregation)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	1453	NM_001893.6	0.512	0.333	0.968	2.66	constrained
CSNK2A1	3	2	GO,Reactome	3	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)	R-HSA-68877 (Mitotic Prometaphase)		no	1457	NM_177559.3	0.274	0.152	1.000	5.33	highly_constrained
CSNK2A2	3	2	GO,Reactome	5	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)	R-HSA-68877 (Mitotic Prometaphase)		no	1459	NM_001896.4	0.424	0.215	0.997	3.06	constrained
DCTN1	3	2	GO,Reactome	7	yes	yes	2	GO:0000776 (kinetochore); GO:0007098 (centrosome cycle)	GO:0000776 (kinetochore); GO:0007098 (centrosome cycle)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	1639	NM_004082.5	0.448	0.362	1.000	2.50	constrained
DCTN2	3	2	GO,Reactome	6	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	10540	NM_001261413.2	0.540	0.364	0.870	1.44	constrained
DDB1	3	2	GO,STRING	2	yes	yes	0		GO:0007059 (chromosome segregation)		SMC5	no	1642	NM_001923.5	0.195	0.132	1.000	6.46	highly_constrained
DLGAP5	3	2	GO,STRING	9	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)		BUB1,BUB1B,TRIP13	no	9787	NM_014750.5	1.112	0.915	0.000	-0.20	unconstrained
DMC1	3	2	GO,STRING	11	yes	yes	0		GO:0007059 (chromosome segregation)		TRIP13	no	11144	NM_007068.4	0.990	0.675	0.000	2.27	moderate
DYNC1H1	3	2	GO,Reactome	14	yes	yes	2	GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	1778	NM_001376.5	0.117	0.093	1.000	16.08	highly_constrained
DYNC1I1	3	2	GO,Reactome	10	yes	yes	3	GO:0000776 (kinetochore); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	1780	NM_001135556.2	0.647	0.498	0.000	2.66	moderate
DYNC1I2	3	2	GO,Reactome	11	yes	yes	2	GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	1781	NM_001378.3	0.840	0.641	0.000	3.36	moderate
DYNC1LI1	3	2	GO,Reactome	15	yes	yes	3	GO:0000776 (kinetochore); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	51143	NM_016141.4	0.502	0.303	0.981	0.67	constrained
DYNC1LI2	3	2	GO,Reactome	7	yes	yes	0		GO:0000776 (kinetochore)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	1783	NM_006141.3	0.474	0.323	0.995	2.28	constrained
DYNLL1	3	2	GO,Reactome	12	yes	yes	3	GO:0000776 (kinetochore); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	8655	NM_003746.3	0.744	0.288	0.689	2.32	moderate
DYNLL2	3	2	GO,Reactome	9	yes	yes	2	GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	140735	NM_080677.3	0.462	0.097	0.960	2.81	constrained
DYNLT3	3	2	GO,STRING	7	yes	yes	3	GO:0000776 (kinetochore); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)		BUB3	no	NA	NA	NA	NA	NA	NA	no_constraint_data
ECT2	3	2	GO,STRING	2	yes	yes	0		GO:0007059 (chromosome segregation)		BUB1	no	1894	NM_001258315.2	0.664	0.501	0.000	1.90	moderate
EML4	3	2	GO,Reactome	32	yes	yes	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)	R-HSA-68877 (Mitotic Prometaphase)		no	27436	NM_019063.5	0.680	0.535	0.000	-1.33	moderate
ESCO1	3	2	GO,STRING	3	yes	yes	1	GO:0007062 (sister chromatid cohesion)	GO:0007062 (sister chromatid cohesion)		SMC5	no	114799	NM_052911.3	0.511	0.371	0.925	1.75	constrained
FIRRM	3	2	GO,Reactome	4	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0007059 (chromosome segregation)	R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase)		no	NA	NA	NA	NA	NA	NA	no_constraint_data
HASPIN	3	2	GO,STRING	6	yes	yes	3	GO:0007062 (sister chromatid cohesion); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007062 (sister chromatid cohesion); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)		BUB1	no	83903	NM_031965.2	1.067	0.774	0.000	0.10	unconstrained
HAUS1	3	2	GO,Reactome	30	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	115106	NM_138443.4	1.221	0.768	0.000	0.10	unconstrained
HAUS2	3	2	GO,Reactome	25	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	55142	NM_018097.3	1.858	0.000	0.326	-1.40	unconstrained
HAUS3	3	2	GO,Reactome	10	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	79441	NM_001303143.2	0.773	0.550	0.000	-0.72	moderate
HAUS4	3	2	GO,Reactome	38	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	54930	NM_001166269.2	0.890	0.642	0.000	1.27	moderate
HAUS5	3	2	GO,Reactome	29	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	23354	NM_015302.2	0.860	0.700	0.000	1.06	moderate
HAUS7	3	2	GO,Reactome	9	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	NA	NA	NA	NA	NA	NA	no_constraint_data
HAUS8	3	2	GO,Reactome	10	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)	R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	93323	NM_033417.2	1.140	0.860	0.000	0.58	unconstrained
HDAC8	3	2	GO,Reactome	4	yes	yes	1	GO:0007062 (sister chromatid cohesion)	GO:0007062 (sister chromatid cohesion)	R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase)		no	NA	NA	NA	NA	NA	NA	no_constraint_data
HJURP	3	2	GO,STRING	5	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0007059 (chromosome segregation)		BUB1,TRIP13	no	55355	NM_018410.5	0.805	0.609	0.000	0.93	moderate
HORMAD1	3	2	GO,STRING	10	yes	yes	0		GO:0007059 (chromosome segregation); GO:0007062 (sister chromatid cohesion); GO:0051983 (regulation of chromosome segregation)		TRIP13	no	84072	NM_032132.5	0.747	0.237	0.734	0.57	moderate
HORMAD2	3	2	GO,STRING	4	yes	yes	0		GO:0007059 (chromosome segregation); GO:0007062 (sister chromatid cohesion)		TRIP13	no	150280	NM_152510.4	1.524	0.993	0.000	0.66	unconstrained
ITGB3BP	3	2	GO,Reactome	7	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0007059 (chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	23421	NM_014288.5	1.883	1.032	0.080	-0.45	unconstrained
KIF11	3	2	GO,STRING	17	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)		BUB1,BUB1B,TRIP13	no	3832	NM_004523.4	0.184	0.071	1.000	2.72	highly_constrained
KIF14	3	2	GO,STRING	3	yes	yes	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)		TRIP13	no	9928	NM_014875.3	0.650	0.512	0.000	1.61	moderate
KIF15	3	2	GO,STRING	4	yes	yes	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)		BUB1	no	56992	NM_020242.3	0.891	0.754	0.000	2.32	moderate
KIF18A	3	2	GO,Reactome	10	yes	yes	0		GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	81930	NM_031217.4	0.728	0.518	0.001	0.69	moderate
KIF23	3	2	GO,STRING	8	yes	yes	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)		BUB1,TRIP13	no	9493	NM_001367805.3	0.279	0.192	1.000	3.28	highly_constrained
KIF2A	3	2	GO,Reactome	39	yes	yes	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	3796	NM_001098511.3	0.617	0.342	0.761	2.60	moderate
KIF2B	3	2	GO,Reactome	8	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	84643	NM_032559.5	1.235	0.777	0.000	-0.36	unconstrained
KIF4A	3	2	GO,STRING	26	yes	yes	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)		BUB1,BUB1B,TRIP13	no	NA	NA	NA	NA	NA	NA	no_constraint_data
KNTC1	3	2	GO,Reactome	19	yes	yes	3	GO:0000776 (kinetochore); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	9735	NM_014708.6	0.835	0.704	0.000	1.48	moderate
MAD2L1BP	3	2	GO,STRING	5	yes	yes	2	GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)		TRIP13	no	9587	NM_014628.3	1.071	0.750	0.000	0.65	unconstrained
MAD2L2	3	2	GO,STRING	7	yes	yes	2	GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)		BUB1,BUB3,TRIP13	no	10459	NM_006341.4	0.806	0.538	0.003	1.59	moderate
MIS12	3	2	GO,Reactome	21	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	79003	NM_001258217.2	1.180	0.742	0.000	1.22	unconstrained
MKI67	3	2	GO,STRING	5	yes	yes	0		GO:0007059 (chromosome segregation)		BUB1	no	4288	NM_002417.5	0.719	0.626	0.000	0.59	moderate
MZT1	3	2	GO,Reactome	4	yes	yes	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)	R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	440145	NM_001071775.3	1.831	1.146	0.001	0.21	unconstrained
NDE1	3	2	GO,Reactome	14	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	54820	NM_017668.3	0.851	0.621	0.000	0.26	moderate
NDEL1	3	2	GO,Reactome	10	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0007059 (chromosome segregation); GO:0007098 (centrosome cycle)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	81565	NM_030808.5	0.357	0.198	1.000	2.01	constrained
NEDD1	3	2	Reactome,STRING	4	yes	yes	0			R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)	CEP192	no	121441	NM_152905.4	0.842	0.483	0.079	0.48	moderate
NEK6	3	2	GO,Reactome	17	yes	yes	1	GO:0051983 (regulation of chromosome segregation)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)	R-HSA-68877 (Mitotic Prometaphase)		no	10783	NM_014397.6	0.968	0.672	0.000	1.92	moderate
NEK7	3	2	GO,Reactome	17	yes	yes	0		GO:0007059 (chromosome segregation)	R-HSA-68877 (Mitotic Prometaphase)		no	140609	NM_133494.3	1.045	0.457	0.213	1.31	unconstrained
NIN	3	2	GO,STRING	2	yes	yes	1	GO:0007098 (centrosome cycle)	GO:0007098 (centrosome cycle)		CEP192	no	51199	NM_020921.4	0.620	0.534	0.000	1.22	moderate
