symbol	tier	n_sources	sources	has_strong_assertion	in_mitotic_panel	assertions
GTF2H5	1	2	PanelApp,gene2phenotype	yes	no	GTF2H5-related trichothiodystrophy photosensitive () | Intellectual disability (confidence 3)
GTF3C3	1	2	PanelApp,gene2phenotype	yes	no	GTF3C3-related neurodevelopmental disorder with hypoplasia of corpus callosum and/or cerebellar atrophy () | Intellectual disability (confidence 3) | Severe microcephaly (confidence 3)
GTF3C5	1	2	PanelApp,gene2phenotype	yes	no	GTF3C5-related neurodevelopmental disorder with growth restriction, skeletal anomalies, cerebellar hypoplasia and hearing loss () | Intellectual disability (confidence 3)
GTPBP2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	GTPBP2-related Jaberi-Elahi syndrome () | Intellectual disability (confidence 3) | Jaberi-Elahi syndrome (Definitive)
GTPBP3	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	GTPBP3-related mitochondrial translation defect associated with hypertrophic cardiomyopathy, lactic acidosis, and encephalopathy () | Intellectual disability (confidence 3) | Leigh syndrome (Moderate) | mitochondrial disease (Definitive)
GUSB	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	GUSB-related mucopolysaccharidosis () | Intellectual disability (confidence 3) | mucopolysaccharidosis type 7 (Definitive)
GYS2	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 1) | glycogen storage disorder due to hepatic glycogen synthase deficiency (Definitive)
H1-4	1	2	ClinGen,gene2phenotype	yes	no	H1-4-related Rahman syndrome () | syndromic intellectual disability (Definitive)
H3-3A	1	2	ClinGen,gene2phenotype	yes	no	Bryant-Li-Bhoj neurodevelopmental syndrome 1 (Definitive) | H3-3A-related Bryant-Li-Bhoj neurodevelopmental syndrome ()
HAAO	1	2	ClinGen,gene2phenotype	yes	no	HAAO-related NAD deficiency disorder () | vertebral, cardiac, renal, and limb defects syndrome 1 (Definitive)
HACD1	1	2	ClinGen,gene2phenotype	yes	no	HACD1-related congenital myopathy () | congenital myopathy (Definitive)
HACE1	1	2	PanelApp,gene2phenotype	yes	no	HACE1-related disorder () | Intellectual disability (confidence 3)
HADH	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HADH-related 3-hydroxyacyl-CoA dehydrogenase deficiency () | Intellectual disability (confidence 1) | obsolete hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency (Definitive)
HADHA	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HADHA-related long chain 3-hydroxyacyl-CoA dehydrogenase deficiency () | Intellectual disability (confidence 3) | long chain 3-hydroxyacyl-CoA dehydrogenase deficiency (Definitive)
HADHB	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 2) | mitochondrial trifunctional protein deficiency (Definitive)
HCCS	1	2	PanelApp,gene2phenotype	yes	no	HCCS-related linear skin defects with microphthalmia () | Intellectual disability (confidence 3)
HCFC1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HCFC1-related cobalamin disorder () | HCFC1-related intellectual developmental disorder () | Intellectual disability (confidence 3) | X-linked intellectual disability (Definitive)
HCN1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HCN1-related epileptic encephalopathy, early infantile () | Intellectual disability (confidence 3) | generalized epilepsy with febrile seizures plus (Definitive)
HCN2	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 2) | complex neurodevelopmental disorder (Definitive) | epilepsy (Limited)
HDAC3	1	2	PanelApp,gene2phenotype	yes	no	HDAC3-related neurodevelopmental disorder () | Intellectual disability (confidence 3)
HDAC4	1	2	PanelApp,gene2phenotype	yes	no	HDAC4-related intellectual developmental disorder () | Intellectual disability (confidence 3)
HDAC8	1	4	ClinGen,PanelApp,gene2phenotype,mitotic_panel	yes	yes	Cornelia de Lange syndrome (Definitive) | HDAC8-related Cornelia de Lange syndrome () | Intellectual disability (confidence 3) | Severe microcephaly (confidence 3) | tier 3
HECTD4	1	2	PanelApp,gene2phenotype	yes	no	HECTD4-related neurodevelopmental disorder with seizures, hypotonia, spasticity, and agenesis of the corpus callosum () | Intellectual disability (confidence 3)
HECW2	1	4	ClinGen,PanelApp,gene2phenotype,mitotic_panel	yes	yes	HECW2-related neurodevelopmental disorder (biallelic) () | HECW2-related neurodevelopmental disorder (monoallelic) () | Intellectual disability (confidence 3) | complex neurodevelopmental disorder (Definitive) | complex neurodevelopmental disorder (Moderate) | tier 4
HEPACAM	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 3) | megalencephalic leukoencephalopathy with subcortical cysts 2A (Definitive) | megalencephalic leukoencephalopathy with subcortical cysts 2B, remitting, with or without intellectual disability (Definitive)
HERC1	1	2	PanelApp,gene2phenotype	yes	no	Beckwith-Wiedemann syndrome (BWS) and other congenital overgrowth disorders (confidence 1) | HERC1-related macrocephaly, dysmorphic facies, and psychomotor retardation () | Intellectual disability (confidence 3)
HERC2	1	2	PanelApp,gene2phenotype	yes	no	HERC2-related neurodevelopmental disorder () | Intellectual disability (confidence 3)
HESX1	1	2	PanelApp,gene2phenotype	yes	no	HESX1-related combined pituitary hormone deficiency () | HESX1-related septooptic dysplasia () | Intellectual disability (confidence 3)
HEXA	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HEXA-related GM2-gangliosidosis () | Intellectual disability (confidence 3) | Tay-Sachs disease (Definitive)
HEXB	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HEXB-related GM2-gangliosidosis () | Intellectual disability (confidence 3) | Sandhoff disease (Definitive)
HGSNAT	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HGSNAT-related mucopolysaccharidosis type IIIC () | Intellectual disability (confidence 3) | inherited retinal dystrophy (Definitive) | mucopolysaccharidosis type 3C (Definitive)
HIBCH	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	3-hydroxyisobutyryl-CoA hydrolase deficiency (Definitive) | HIBCH-related 3-hydroxyisobutryl-CoA hydrolase deficiency () | Intellectual disability (confidence 3) | Leigh syndrome (Definitive)
HIKESHI	1	2	ClinGen,PanelApp	yes	no	Severe microcephaly (confidence 1) | hypomyelinating leukodystrophy 13 (Definitive)
HINT1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Charcot-Marie-Tooth disease (Definitive) | HINT1-related neuromyotonia and axonal neuropathy () | Intellectual disability (confidence 2)
HIVEP2	1	2	PanelApp,gene2phenotype	yes	no	HIVEP2-related syndromic developmental delay with intellectual disability with or without microcephaly () | Intellectual disability (confidence 3)
HK1	1	2	PanelApp,gene2phenotype	yes	no	HK1-related neurodevelopmental disorder with visual defects and brain anomalies () | Intellectual disability (confidence 3)
HLCS	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HLCS-related holocarboxylase synthetase deficiency () | Intellectual disability (confidence 3) | holocarboxylase synthetase deficiency (Definitive)
HMGA2	1	2	ClinGen,gene2phenotype	yes	no	HMGA2-related Silver-Russell-like syndrome () | Silver-Russell syndrome 5 (Definitive)
HMGB1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HMGB1-related brachyphalangy, polydactyly and tibial aplasia syndrome () | HMGB1-related brachyphalangy, polydactyly and tibial aplasia syndrome (Moderate) | HMGB1-related intellectual disability () | Intellectual disability (confidence 3) | Severe microcephaly (confidence 3)
HMGCL	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	3-hydroxy-3-methylglutaric aciduria (Definitive) | HMGCL-related 3-hydroxy-3-methylglutaryl-CoA lyase deficiency () | Intellectual disability (confidence 3)
HMGCR	1	2	ClinGen,gene2phenotype	yes	no	HMGCR-related limb-girdle muscular dystrophy () | autosomal recessive limb-girdle muscular dystrophy (Moderate)
HMGCS2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	3-hydroxy-3-methylglutaryl-CoA synthase deficiency (Definitive) | HMGCS2-related 3-hydroxy-3-methylglutaryl-CoA synthase 2 deficiency () | Intellectual disability (confidence 1)
HMX1	1	2	ClinGen,gene2phenotype	yes	no	HMX1-related oculoauricular syndrome () | oculoauricular syndrome (Definitive)
HNF1B	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Cystic renal disease (confidence 3) | HNF1B-related renal cysts and diabetes syndrome () | Intellectual disability (confidence 2) | renal cysts and diabetes syndrome (Definitive)
HNF4A	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HNF4A-related atypical Fanconi syndrome with maturity-onset diabetes of the young (MODY) () | HNF4A-related maturity-onset diabetes of the young (MODY) () | Intellectual disability (confidence 1) | Nephrocalcinosis or nephrolithiasis (confidence 3) | monogenic diabetes (Definitive)
HNRNPA2B1	1	2	ClinGen,gene2phenotype	yes	no	HNRNPA2B1-related early-onset oculopharyngeal muscular dystrophy () | inclusion body myopathy with early-onset Paget disease with or without frontotemporal dementia 2 (Moderate)
HNRNPD	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HNRNPD-related developmental disorder () | Intellectual disability (confidence 2) | complex neurodevelopmental disorder (Definitive)
HNRNPH1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HNRNPH1-related neurodevelopmental disorder () | Intellectual disability (confidence 3) | syndromic intellectual disability (Definitive)
HNRNPH2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HNRNPH2-related neurodevelopmental disorder () | Intellectual disability (confidence 3) | X-linked complex neurodevelopmental disorder (Definitive)
HNRNPK	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HNRNPK-related Au-Kline syndrome () | Intellectual disability (confidence 3) | neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-hip dysplasia syndrome (Definitive)
HNRNPR	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HNRNPR-related intellectual disability () | Intellectual disability (confidence 3) | syndromic intellectual disability (Definitive)
HNRNPU	1	4	ClinGen,PanelApp,gene2phenotype,mitotic_panel	yes	yes	HNRNPU-related epileptic encephalopathy () | Intellectual disability (confidence 3) | complex neurodevelopmental disorder (Definitive) | tier 3
HOGA1	1	2	ClinGen,PanelApp	yes	no	Nephrocalcinosis or nephrolithiasis (confidence 3) | primary hyperoxaluria type 3 (Definitive)
HOXA1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HOXA1-related Bosley-Salih-Alorainy syndrome () | Intellectual disability (confidence 3) | syndromic intellectual disability (Definitive)
HOXA13	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HOXA13-related hand-foot-genital syndrome () | Intellectual disability (confidence 1) | hand-foot-genital syndrome (Definitive)
HPD	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HPD-related hawkinsinuria () | HPD-related tyrosinemia () | Intellectual disability (confidence 3) | hawkinsinuria (Limited) | tyrosinemia type III (Definitive)
HPDL	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HPDL-related neurodegenerative disease () | Intellectual disability (confidence 3) | Leigh syndrome (Moderate) | Severe microcephaly (confidence 3)
HPRT1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HPRT1-related Lesch-Nyhan syndrome () | Intellectual disability (confidence 3) | Lesch-Nyhan syndrome (Definitive) | Nephrocalcinosis or nephrolithiasis (confidence 3)
HPS1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HPS1-related Hermansky-Pudlak syndrome () | Hermansky-Pudlak syndrome 1 (Definitive) | Intellectual disability (confidence 1)
HRAS	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Childhood solid tumours (confidence 3) | Childhood solid tumours cancer susceptibility (confidence 3) | Costello syndrome (Definitive) | Familial rhabdomyosarcoma (confidence 3) | HRAS-related Costello syndrome () | HRAS-related congenital myopathy with excess of muscle spindles ()
HSD17B10	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HSD10 mitochondrial disease (Definitive) | HSD17B10-related mitochondrial disease () | Intellectual disability (confidence 3)
HSD17B4	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HSD17B4-related D-bifunctional protein deficiency () | Intellectual disability (confidence 3) | Perrault syndrome (Definitive) | d-bifunctional protein deficiency (Definitive)
HSD3B7	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HSD3B7-related bile acid synthesis defect, congenital () | Intellectual disability (confidence 1) | congenital bile acid synthesis defect 1 (Definitive)
HSPD1	1	2	PanelApp,gene2phenotype	yes	no	HSPD1-related leukodystrophy hypomyelinating () | Intellectual disability (confidence 3)
HSPG2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HSPG2-related dyssegmental dysplasia, Silverman-Handmaker type () | Intellectual disability (confidence 2) | Schwartz-Jampel syndrome type 1 (Definitive) | Silverman-Handmaker type dyssegmental dysplasia (Definitive)
HTRA2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	3-methylglutaconic aciduria type 8 (Definitive) | HTRA2-related early-onset mitochondrial syndrome associated with 3-methylglutaconic aciduria () | Intellectual disability (confidence 3)
HTT	1	2	ClinGen,PanelApp	yes	no	Huntington disease (Definitive) | Intellectual disability (confidence 2)
HUWE1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HUWE1-related syndromic intellectual developmental disorder, Turner type () | Intellectual disability (confidence 3) | non-syndromic X-linked intellectual disability (Definitive)
HYAL1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HYAL1-related mucopolysaccharidosis () | Intellectual disability (confidence 1) | mucopolysaccharidosis type 9 (Moderate)
HYCC1	1	2	ClinGen,gene2phenotype	yes	no	HYCC1-related leukodystrophy, hypomyelinating () | hypomyelinating leukodystrophy 5 (Definitive)
HYDIN	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	HYDIN-related primary ciliary dyskinesia () | Intellectual disability (confidence 1) | primary ciliary dyskinesia 5 (Definitive)
HYLS1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Cystic renal disease (confidence 3) | HYLS1-related hydrolethalus syndrome () | Intellectual disability (confidence 1) | hydrolethalus syndrome (Moderate)
IARS2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	IARS2-related cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia () | Intellectual disability (confidence 1) | Leigh syndrome (Limited) | mitochondrial disease (Definitive)
IBA57	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 3) | mitochondrial disease (Definitive)
IDH2	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 3) | mitochondrial disease (Definitive)
IDS	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	IDS-related mucopolysaccharidosis () | Intellectual disability (confidence 3) | mucopolysaccharidosis type 2 (Definitive)
IDUA	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	IDUA-related mucopolysaccharidosis () | Intellectual disability (confidence 3) | mucopolysaccharidosis type 1 (Definitive)
IER3IP1	1	2	PanelApp,gene2phenotype	yes	no	IER3IP1-related microcephaly with simplified gyral pattern, epilepsy, and neonatal diabetes () | Intellectual disability (confidence 3) | Severe microcephaly (confidence 3)
IFIH1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	IFIH1-related Aicardi-Goutieres syndrome () | IFIH1-related Singleton-Merten syndrome () | IFIH1-related type 1 interferonopathy (Definitive) | Intellectual disability (confidence 3)
IFT122	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Cystic renal disease (confidence 3) | IFT122-related cranioectodermal dysplasia () | Intellectual disability (confidence 1) | cranioectodermal dysplasia 1 (Definitive)
IFT140	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Cystic renal disease (confidence 3) | IFT140-related recessive ciliopathy (Definitive) | IFT140-related short-rib thoracic dysplasia with or without polydactyly () | Intellectual disability (confidence 1) | autosomal dominant polycystic kidney disease (Definitive)
IFT172	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Cystic renal disease (confidence 3) | IFT172-related short-rib thoracic dysplasia with or without polydactyly () | Intellectual disability (confidence 3) | ciliopathy (Definitive)
IFT27	1	2	ClinGen,PanelApp	yes	no	Cystic renal disease (confidence 3) | Intellectual disability (confidence 2) | ciliopathy (Definitive)
IFT43	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Cystic renal disease (confidence 3) | IFT43-related cranioectodermal dysplasia () | Intellectual disability (confidence 2) | ciliopathy (Moderate)
IFT54	1	2	ClinGen,PanelApp	yes	no	Cystic renal disease (confidence 3) | ciliopathy (Definitive)
IFT74	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Cystic renal disease (confidence 1) | IFT74-related ciliopathy () | ciliopathy-IFT74 (Definitive)
IFT80	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	IFT80-related asphyxiating thoracic dystrophy () | Intellectual disability (confidence 1) | asphyxiating thoracic dystrophy 2 (Definitive)
IGF1	1	2	PanelApp,gene2phenotype	yes	no	IGF1-related insulin-like growth factor I deficiency () | Intellectual disability (confidence 3) | Severe microcephaly (confidence 3)
IGF1R	1	2	PanelApp,gene2phenotype	yes	no	IGF1R-related insulin-like growth factor I, resistance to () | Intellectual disability (confidence 3) | Severe microcephaly (confidence 3)
IGF2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Beckwith-Wiedemann syndrome (BWS) and other congenital overgrowth disorders (confidence 1) | Childhood solid tumours (confidence 1) | IGF2-related Beckwith-Wiedemann syndrome () | IGF2-related Silver-Russell syndrome () | Intellectual disability (confidence 1) | Silver-Russell syndrome 3 (Definitive)
IGHMBP2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	IGHMBP2-related spinal muscular atrophy with respiratory distress () | Intellectual disability (confidence 1) | hereditary peripheral neuropathy (Definitive)
IKBKG	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	IKBKG-related ectodermal dysplasia and immunodeficiency () | IKBKG-related immunodeficiency with or without ectodermal dysplasia (Definitive) | IKBKG-related incontinentia pigmenti () | Intellectual disability (confidence 3) | incontinentia pigmenti (Definitive)
IKZF2	1	2	ClinGen,gene2phenotype	yes	no	HELIOS deficiency (Moderate) | IKZF2-related ICHAD syndrome ()
IL11RA	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	IL11RA-related craniosynostosis () | Intellectual disability (confidence 1) | craniosynostosis and dental anomalies (Definitive)
IL1RAPL1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	IL1RAPL1-related intellectual developmental disorder () | Intellectual disability (confidence 3) | non-syndromic X-linked intellectual disability (Definitive)
INF2	1	2	ClinGen,PanelApp	yes	no	Charcot-Marie-Tooth disease dominant intermediate E (Definitive) | Intellectual disability (confidence 1)
INPP4A	1	2	PanelApp,gene2phenotype	yes	no	INPP4A-related neurodevelopmental disorder with spasticity, epilepsy and cerebellar hypoplasia () | Intellectual disability (confidence 3) | Severe microcephaly (confidence 3)
INPP5E	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Cystic renal disease (confidence 1) | Cystic renal disease (confidence 3) | INPP5E-related Joubert syndrome () | INPP5E-related intellectual development disorder, truncal obesity, retinal dystrophy, and micropenis () | Intellectual disability (confidence 3) | Joubert syndrome 1 (Definitive)
INPP5K	1	2	PanelApp,gene2phenotype	yes	no	INPP5K-related muscular dystrophy, congenital, with cataracts, and intellectual disability () | Intellectual disability (confidence 3)
INPPL1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	INPPL1-related opsismodysplasia () | Intellectual disability (confidence 1) | opsismodysplasia (Definitive)
INSR	1	2	ClinGen,PanelApp	yes	no	Donohue syndrome (Definitive) | Intellectual disability (confidence 1) | insulin-resistance syndrome type A (Definitive)
INTS1	1	2	PanelApp,gene2phenotype	yes	no	INTS1-related neurodevelopmental disorder with cataracts, hypotonia and gait abnormality () | Intellectual disability (confidence 3)
INTS11	1	2	PanelApp,gene2phenotype	yes	no	INTS11-related neurodevelopmental disorder with motor and language delay, ocular defects, and brain abnormalities () | Intellectual disability (confidence 3) | Severe microcephaly (confidence 3)
INVS	1	2	ClinGen,PanelApp	yes	no	Cystic renal disease (confidence 3) | nephronophthisis 2 (Definitive)
IQCB1	1	2	ClinGen,PanelApp	yes	no	Cystic renal disease (confidence 1) | Cystic renal disease (confidence 3) | ciliopathy (Definitive)
IQSEC2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	IQSEC2-related intellectual developmental disorder () | Intellectual disability (confidence 3) | X-linked complex neurodevelopmental disorder (Definitive)
IREB2	1	2	PanelApp,gene2phenotype	yes	no	IREB2-related neurodevelopmental disorder () | Intellectual disability (confidence 3)
IRF2BPL	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	IRF2BPL-related neurodevelopmental disorder () | Intellectual disability (confidence 3) | neurodegenerative disease (Definitive)
IRF6	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	IRF6-related Van der Woude syndrome () | IRF6-related condition (Definitive) | IRF6-related popliteal pterygium syndrome () | Intellectual disability (confidence 1)
IRX5	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	IRX5-related hypertelorism, severe, with midface prominence, myopia, intellectual developmental disorder, and bone fragility () | Intellectual disability (confidence 3) | craniofacial dysplasia - osteopenia syndrome (Moderate)
ISCA2	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 2) | mitochondrial disease (Definitive)
ITCH	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ITCH-related autoimmune disease, syndromic multisystem () | Intellectual disability (confidence 1) | syndromic multisystem autoimmune disease due to ITCH deficiency (Definitive)
ITGA3	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ITGA3-related interstitial lung disease, nephrotic syndrome, and epidermolysis bullosa, congenital () | Intellectual disability (confidence 1) | epidermolysis bullosa, junctional 7, with interstitial lung disease and nephrotic syndrome (Definitive)
ITPA	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 3) | genetic developmental and epileptic encephalopathy (Definitive)
ITPR1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ITPR1-related Gillespie Syndrome () | ITPR1-related spinocerebellar ataxia, congenital nonprogressive () | Intellectual disability (confidence 3) | aniridia-cerebellar ataxia-intellectual disability syndrome (Definitive) | spinocerebellar ataxia type 29 (Definitive)
ITPR3	1	2	ClinGen,gene2phenotype	yes	no	Charcot-Marie-Tooth disease, demyelinating, type 1J (Definitive) | ITPR3-related immunodeficiency with ectodermal dysplasia with or without peripheral neuropathy ()
IVD	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	IVD-related isovaleric acidemia () | Intellectual disability (confidence 3) | isovaleric acidemia (Definitive)
JAG2	1	2	ClinGen,gene2phenotype	yes	no	JAG2-related muscular dystrophy () | autosomal recessive limb-girdle muscular dystrophy (Moderate)
JAK3	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 1) | JAK3-related severe combined immunodeficiency, T-cell negative, B-cell positive, NK-cell negative () | T-B+ severe combined immunodeficiency due to JAK3 deficiency (Definitive)
JAM3	1	2	PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 3) | JAM3-related hemorrhagic destruction of the brain, subependymal calcification, and cataracts ()
JARID2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 3) | JARID2-related neurodevelopmental disorder () | developmental delay with variable intellectual disability and dysmorphic facies (Definitive)
KANSL1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 3) | KANSL1-related chromosome 17q21.31 microdeletion syndrome () | Koolen-de Vries syndrome (Definitive)
KAT5	1	3	PanelApp,gene2phenotype,mitotic_panel	yes	yes	Intellectual disability (confidence 3) | KAT5-related neurodevelopmental syndrome () | tier 3
KAT6A	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 3) | KAT6A-related intellectual developmental disorder () | syndromic intellectual disability (Definitive)
KAT6B	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 3) | KAT6B-related Say-Barber-Biesecker-Young-Simpson syndrome () | KAT6B-related genitopatellar syndrome () | KAT6B-related multiple congenital anomalies syndrome (Definitive) | RASopathy (Disputed)
KBTBD13	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 1) | KBTBD13-related nemaline myopathy () | nemaline myopathy 6 (Definitive)
KCNA1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 2) | KCNA1-related epileptic encephalopathy () | KCNA1-related episodic ataxia with or without seizures () | episodic ataxia type 1 (Definitive)
KCNA2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 3) | KCNA2-related epileptic encephalopathy () | genetic developmental and epileptic encephalopathy (Definitive)
KCNB1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 3) | KCNB1-related epileptic encephalopathy, early infantile () | complex neurodevelopmental disorder (Definitive)
KCNB2	1	2	PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 3) | KCNB2-related neurodevelopmental disorder ()
KCNC1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 3) | KCNC1-related epilepsy, progressive myoclonic () | complex neurodevelopmental disorder (Definitive) | progressive myoclonus epilepsy (Definitive)
KCNC3	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 2) | KCNC3-related spinocerebellar ataxia () | spinocerebellar ataxia type 13 (Definitive)
KCND2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 3) | KCND2-related neurodevelopmental disorder with or without seizures () | KCND2-related neurodevelopmental disorder with or without seizures (Moderate)
KCNH1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 3) | KCNH1 associated disorder (Definitive) | KCNH1-related Temple-Baraitser syndrome ()
KCNH5	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 3) | KCNH5-related epilepsy and epileptic encephalopathy () | neonatal/infantile epilepsy syndrome (Definitive)
KCNJ1	1	2	ClinGen,PanelApp	yes	no	Bartter disease type 2 (Definitive) | Nephrocalcinosis or nephrolithiasis (confidence 3)
KCNJ10	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	EAST syndrome (Definitive) | Intellectual disability (confidence 3) | KCNJ10-related seizures-sensorineural deafness-ataxia-intellectual developmental disorder-electrolyte imbalance () | enlarged vestibular aqueduct syndrome (Disputed)
KCNJ11	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 3) | KCNJ11-related diabetes mellitus, transient neonatal () | KCNJ11-related familial hyperinsulinism () | hyperinsulinemic hypoglycemia, familial, 2 (Definitive) | hyperinsulinemic hypoglycemia, familial, 2 (Limited) | monogenic diabetes (Definitive)
KCNJ2	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 1) | catecholaminergic polymorphic ventricular tachycardia (Disputed) | congenital heart disease (No Known Disease Relationship) | long QT syndrome (Limited) | short QT syndrome (Moderate)
KCNJ6	1	2	PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 3) | KCNJ6-related Keppen-Lubinsky syndrome ()
KCNK3	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 3) | KCNK3-related developmental delay with sleep apnea () | pulmonary arterial hypertension (Definitive)
KCNK4	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 2) | KCNK4-related facial dysmorphism, hypertrichosis, epilepsy, intellectual and developmental delay, and gingival overgrowth syndrome (FHEIG) () | facial dysmorphism, hypertrichosis, epilepsy, intellectual/developmental delay, and gingival overgrowth syndrome (Moderate)
KCNK9	1	2	PanelApp,gene2phenotype	yes	no	Intellectual disability (confidence 3) | KCNK9-related Birk-Barel syndrome ()
